CodeStateID,Code,Reason
186e5b299e752e9c8dcda2204f52571b21dab6b8,"public String plusOut(String str, String word)
{
    
  for (int i = 0; i < slen; i++) {
    if (i <= slen - wlen) {
      String tmp = str.substring(i,i+wlen);
      if (tmp.equals(word)) {
        fin += word;
        i += wlen-1;
      }
      else
        fin += ""+"";
    }
    else
      fin += ""+"";
  }
  
  return fin;
}
","[0, 0, 1, 0, 1]"
d3b776ca015d653d66c67ca38d8655972c562596,"public String plusOut(String str, String word)
{
    
  for (int i = 0; i < slen; i++) {
    if (i <= slen - wlen) {
      String tmp = str.substring(i,i+wlen);
      if (tmp.equals(word)) {
        fin += word;
        i += wlen-1;
      }
      else
        fin += ""+"";
    }
    else
      fin += ""+"";
  }
  
  return fin;
}
","[0, 0, 0, 1, 1]"
89567d142907176481f97851224cbe80ddc44992,"public String plusOut(String str, String word)
{
    
  for (int i = 0; i < slen; i++) {
    if (i <= slen - wlen) {
      String tmp = str.substring(i,i+wlen);
      if (tmp.equals(word)) {
        fin += word;
        i += wlen-1;
      }
      else
        fin += ""+"";
    }
    else
      fin += ""+"";
  }
  
  return fin;
}
","[0, 0, 1, 0, 1]"
86ad83d3534c4cec85c0e5ebdc9648c1642b9d86,"public String plusOut(String str, String word)
{
    
  for (int i = 0; i < slen; i++) {
    if (i <= slen - wlen) {
      String tmp = str.substring(i,i+wlen);
      if (tmp.equals(word)) {
        fin += word;
        i += wlen-1;
      }
      else
        fin += ""+"";
    }
    else
      fin += ""+"";
  }
  
  return fin;
}
","[0, 0, 0, 1, 1]"
24ce7c3c376b69302ec5a85714b850df7add7070,"public String plusOut(String str, String word)
{
    
    int slen = str.length();
  int wlen = word.length();
  String fin = """";
  
  for (int i = 0; i < slen; i++) {
    if (i <= slen - wlen) {
      String tmp = str.substring(i,i+wlen);
      if (tmp.equals(word)) {
        fin += word;
        i += wlen-1;
      }
      else
        fin += ""+"";
    }
    else
      fin += ""+"";
  }
  
  return fin;
}
","[1, 1, 0, 0, 0]"
227851bc5283b04a991ed749b8289bdfc76c58d0,"public String plusOut(String str, String word)
{
    int len = str.length();
	int wLen = word.length();
	int pos = str.indexOf(word);
	int i = 0;
	StringBuilder stbuild = new StringBuilder(len);
	while(pos != -1)
	{
		while(i < pos)
		{
			stbuild.append('+');
			i++;
		}
		stbuild.append(word);
		i = pos + wLen;
		pos = str.indexOf(word, i);
	}
	for(; i < len; i++)
		stbuild.append('+');
	return stbuild.toString();
}
","[1, 1, 0, 0, 0]"
446bde6e00684012b73485d94652b864e705dcd4,"public String plusOut(String str, String word)
{
    int num = 0;
    for (int i = word.length() - 1; i < str.length(); i++)
    {
        if (!str.substring(num, i).equals(word))
        {
            str.charAt(num) = '+';
        }
        num += 1;
    }
    return str;
}
","[0, 0, 0, 1, 1]"
5eb7f1bf459d490db1e72c33382e7a4d7bf27871,"public String plusOut(String str, String word)
{
    int num = 0;
    for (int i = word.length() - 1; i < str.length(); i++)
    {
        if (!str.substring(num, i).equals(word))
        {
            str.replace(charAt(num), '+');
        }
        num += 1;
    }
    return str;
}
","[0, 0, 0, 1, 1]"
3ff163940572768ef703a3569e87f04ef96a1e71,"public String plusOut(String str, String word)
{
    int num = 0;
    for (int i = word.length() - 1; i < str.length(); i++)
    {
        if (!str.substring(num, i).equals(word))
        {
            str.replace(str.charAt(num), '+');
        }
        num += 1;
    }
    return str;
}
","[0, 1, 0, 0, 1]"
d0108e28677f2bd59a7dbc0cef142ab17cfcba7c,"public String plusOut(String str, String word)
{
    int num = 0;
    for (int i = word.length(); i < str.length(); i++)
    {
        if (!str.substring(num, i).equals(word))
        {
            str.replace(str.charAt(num), '+');
        }
        num += 1;
    }
    return str;
}
","[0, 1, 0, 0, 1]"
