Order,SubjectID,ToolInstances,ServerTimestamp,ServerTimezone,CourseID,CourseSectionID,AssignmentID,ProblemID,CodeStateID,IsEventOrderingConsistent,EventType,Score,Compile.Result,CompileMessageType,CompileMessageData,EventID,ParentEventID,SourceLocation,Reason
120860,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:30:42,UTC,CS 1,1,439.0,1,9f82c186e9970e9cf5dd1d1f6ab07a832f10b42d,True,Run.Program,0.0,,,,1-70417,,,"[1, 0, 1, 0, 0]"
120861,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:30:42,UTC,CS 1,1,439.0,1,9f82c186e9970e9cf5dd1d1f6ab07a832f10b42d,True,Compile,,Error,,,1-70418,1-70417,,"[1, 0, 1, 0, 0]"
120862,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:30:42,UTC,CS 1,1,439.0,1,9f82c186e9970e9cf5dd1d1f6ab07a832f10b42d,True,Compile.Error,,,SyntaxError,line 3: error: ';' expected,1-70419,1-70418,Text:3,"[1, 0, 1, 0, 0]"
120863,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:30:48,UTC,CS 1,1,439.0,1,2dfb99c7c06a9abc7965029ba7443467037b1ba6,True,Run.Program,1.0,,,,1-70420,,,"[1, 1, 0, 0, 0]"
120864,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:30:48,UTC,CS 1,1,439.0,1,2dfb99c7c06a9abc7965029ba7443467037b1ba6,True,Compile,,Success,,,1-70421,1-70420,,"[1, 1, 0, 0, 0]"
135920,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:33:37,0,CS 1,1,439.0,3,0d3b7ad983ee0e38cd41f560382ef7c9b0e04066,True,Run.Program,0.0,,,,3-69692,,,"[1, 0, 1, 0, 0]"
135921,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:33:37,0,CS 1,1,439.0,3,0d3b7ad983ee0e38cd41f560382ef7c9b0e04066,True,Compile,,Error,,,3-69693,3-69692,,"[1, 0, 1, 0, 0]"
135922,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:33:37,0,CS 1,1,439.0,3,0d3b7ad983ee0e38cd41f560382ef7c9b0e04066,True,Compile.Error,,,SyntaxError,line 12: error: missing return statement,3-69694,3-69693,Text:12,"[1, 0, 1, 0, 0]"
135925,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:35:32,0,CS 1,1,439.0,3,411a4f97c8ce9a614f682857efceb21c7997b865,True,Run.Program,0.0,,,,3-69697,,,"[0, 0, 1, 0, 1]"
135926,0a7ff96e4fa7c92a13ccab013d580930,Java 8; CodeWorkout,2019-02-25T02:35:32,0,CS 1,1,439.0,3,411a4f97c8ce9a614f682857efceb21c7997b865,True,Compile,,Error,,,3-69698,3-69697,,"[0, 0, 1, 0, 1]"
